
vols;150;Coureur de Vent;Capable de maintenir son cap même quand les éléments décident de lui compliquer la tâche.
vols;200;Nomade du Ciel;Enchaîner les heures de vol loin de sa base ne lui fait pas peur. La cabine est sa deuxième maison.
vols;250;Pilote au Long Cours;Les longues navigations à traverser des contrées entières sont sa spécialité. Un vrai routard des airs.
vols;300;Maître des Courants;Il anticipe chaque turbulence, survole les reliefs avec aisance et domine son plan de vol.
vols;400;Passeur d'Horizons;À ce niveau, la météo n'est plus un obstacle mais un partenaire de jeu. Il traverse les continents comme on traverse la rue.
vols;500;Légende des Cieux Oubliés;Celui qui a accumulé assez de milles aériens pour faire plusieurs fois le tour du globe. Le ciel n'a plus aucun secret pour lui.


landings;10;The Camper;He set his wheels down in the grass and pitched his tent. The adventure begins.
landings;25;The Trail Runner;He is starting to venture off the beaten path, looking for new terrain.
landings;50;The Clearing Hunter;"Backcountry flying is no longer an accident; he knows how to read the terrain and avoid traps."
landings;75;The Scout;He blazes the trail where others don't even dare look yet.
landings;100;The Explorer;The 100-mark! The blank spots on the map are his personal playground.
landings;150;The Valley Watchman;He is capable of landing on the most improbable strips of land and taking off again.
landings;200;The Long-Haul Traveler;Stringing together bivouacs far from any civilization doesn't scare him. He lives in total self-sufficiency with his machine.
landings;250;The Bush Veteran;The weather, the mud, the rocks... Nothing impresses him anymore. He is one tough cookie.
landings;300;The Master of Horizons;He flies over and dominates the most hostile environments on the planet.
landings;400;The Strip Wizard;At this level, it’s no longer flying—it’s magic. He lands a plane where you wouldn't even park a helicopter.
landings;500;Legend of the Forgotten Strips;The one who has pushed all the boundaries of the map.


countries;5;Counter-Hopper;He crossed his first wild border post. The formalities begin.
countries;10;Visa Poacher;He is starting to collect stamps from improbable airfields and isolated checkpoints.
countries;15;Extended Passport;"His passport is reaching capacity; he had to have extra pages stapled in."
countries;20;Stamping Ace;"Nothing stops him; he gets his landing permits even in the most nitpicking countries."
countries;25;Bush Diplomat;25 countries. He knows how to negotiate with any local authority after landing in a clearing.
countries;30;Checkpoint Master;Administrative barriers vanish before his propeller. He knows every trick in the global book.
countries;40;Grey Zone Negotiator;Between tacit agreements and unmapped terrain, he operates where borders no longer truly make sense.
countries;50;Horizon Smuggler;The mythical tier. He has landed everywhere, breaking free from the borders of the entire Earth.


flights;10;First Takeoff;He leaves the nest more and more often. The call of the skies is starting to be felt.
flights;25;Hopscotch Flyer;He chains short hops and is starting to gain confidence once airborne.
flights;50;Plains Navigator;Ground references are becoming familiar. He draws his first real straight routes.
flights;75;Cloud Watcher;He can read the sky, anticipate the weather, and work with air currents.
flights;100;Cape Crosser;100 flights reached! Traveling in three dimensions starts to feel like second nature.
flights;150;Wind Runner;Able to hold his course even when the elements try to make things difficult.
flights;200;Sky Nomad;Chaining flight hours far from home base doesn’t scare him. The cockpit is his second home.
flights;250;Long-Haul Pilot;Long-range navigation across entire regions is his specialty. A true air traveler.
flights;300;Master of Currents;He anticipates every turbulence, clears terrain with ease, and masters his flight plan.
flights;400;Horizon Walker;At this level, weather is no longer an obstacle but a playmate. He crosses continents like crossing the street.
flights;500;Forgotten Skies Legend;Having accumulated enough air miles to circle the globe multiple times over, the sky holds no more secrets for him.
